"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"A";"Agilent Technologies Inc";"Health Care";123.41;0.18672135;2065166;2.3;0.72
"AAL";"American Airlines Group";"Industrials";17.77;3.3740542;44177522;-18.362;0.1
"AAP";"Advance Auto Parts";"Consumer Discretionary";158.44;0.7375405;957769;6.869;0.81
"AAPL";"Apple Inc.";"Information Technology";136.91;0.10968789;68005611;3.687;0.807
"ABBV";"AbbVie Inc.";"Health Care";106.84;-1.7382572;9197283;2.72;4.84
"ABC";"AmerisourceBergen Corp";"Health Care";108.49;-1.0939963;1105089;-15.76;1.7
"ABMD";"ABIOMED Inc";"Health Care";325.86;-0.60699123;199866;4.387;NA
"ABT";"Abbott Laboratories";"Health Care";124.5;0.37894157;3454709;2.503;1.53
"ACN";"Accenture plc";"Information Technology";257.31;1.4869466;1508363;8.124;3.36
"ADBE";"Adobe Inc.";"Information Technology";493.76;0.33325505;1650784;10.83;NA
"ADI";"Analog Devices, Inc.";"Information Technology";153.2;2.984675;2059907;3.28;2.48
"ADM";"Archer-Daniels-Midland Co";"Consumer Staples";53.65;1.3602895;2232689;3.147;1.44
"ADP";"Automatic Data Processing";"Information Technology";167.92;0.3825917;1623376;5.77;3.66
"ADSK";"Autodesk Inc.";"Information Technology";302.81;-0.99718434;945222;1.928;NA
"AEE";"Ameren Corp";"Utilities";72.59;-2.1698122;1636579;3.423;1.98
"AEP";"American Electric Power";"Utilities";80.98;-1.4721974;2047349;3.862;2.8
"AES";"AES Corp";"Utilities";27.68;3.0528655;8430400;-0.526;0.566
"AFL";"AFLAC Inc";"Financials";46.28;1.8261783;4668298;6.67;1.12
"AIG";"American International Group";"Financials";42.29;1.463533;3896427;-5.725;1.28
"AIZ";"Assurant";"Financials";135.44;0.803812;392168;6.751;2.52
"AJG";"Arthur J. Gallagher & Co.";"Financials";117.68;-0.6081091;980095;4.2;1.8
"AKAM";"Akamai Technologies Inc";"Information Technology";117.28;2.2760973;1443004;3.411;NA
"ALB";"Albemarle Corp";"Materials";161.56;2.7931535;2523055;3.59;1.522
"ALGN";"Align Technology";"Health Care";602.44;-2.9027333;618356;22.41;NA
"ALK";"Alaska Air Group Inc";"Industrials";57.08;5.3525314;1754484;-10.59;0.375
"ALL";"Allstate Corp";"Financials";107.38;0.43022734;1909025;17.31;2.16
"ALLE";"Allegion";"Industrials";117.03;2.8473485;682073;3.239;1.23
"ALXN";"Alexion Pharmaceuticals";"Health Care";154.5;0.37682033;1917742;2.72;NA
"AMAT";"Applied Materials Inc.";"Information Technology";106.19;5.44137;6253824;3.92;0.87
"AMCR";"Amcor plc";"Materials";11.47;0;6383279;0.313;0.47
"AMD";"Advanced Micro Devices Inc";"Information Technology";91.47;4.061433;47639887;2.064;NA
"AME";"AMETEK Inc.";"Industrials";119.89;2.4700851;1291083;3.77;0.72
"AMGN";"Amgen Inc.";"Health Care";237.57;0.5289438;2258338;12.31;6.4
"AMP";"Ameriprise Financial";"Financials";213.31;1.0660475;392667;12.2;4.09
"AMZN";"Amazon.com Inc.";"Consumer Discretionary";3322.94;-0.87138;3257391;41.83;NA
"AMT";"American Tower Corp.";"Real Estate";232.79;-0.085845836;1774383;4.23;4.33
"ANET";"Arista Networks";"Information Technology";320.09;-0.56537765;330047;8.938;NA
"ANSS";"ANSYS, Inc.";"Information Technology";381.97;0.65615845;428896;4.399;NA
"ANTM";"Anthem";"Health Care";287.7;-1.0830303;1435751;17.979;3.8
"AON";"Aon plc";"Financials";225.64;1.0841314;1442155;8.454;1.78
"AOS";"A.O. Smith Corp";"Industrials";61.38;2.3000019;865573;2.12;0.98
"APA";"Apache Corporation";"Energy";17.84;9.987676;10826289;-20.783;0.325
"APD";"Air Products & Chemicals Inc";"Materials";253.64;0.1935633;2055273;8.512;5.36
"APH";"Amphenol Corp";"Information Technology";132.3;2.1621644;1022589;3.91;1.04
"APTV";"Aptiv PLC";"Consumer Discretionary";148.77;1.11466;1652511;6.664;0.22
"ARE";"Alexandria Real Estate Equities";"Real Estate";170.42;-0.7454856;750272;6.01;4.24
"AZO";"AutoZone Inc";"Consumer Discretionary";1224.95;0.37035286;161187;76.326;NA
"ATO";"Atmos Energy";"Utilities";89.08;0.03368757;886625;5.147;2.35
"ATVI";"Activision Blizzard";"Communication Services";101.19;-0.41334337;5640723;2.82;0.47
"AVB";"AvalonBay Communities";"Real Estate";173.33;0.6445248;800693;5.89;6.36
"AVGO";"Broadcom Inc.";"Information Technology";472.7;1.435592;1761131;6.328;13.35
"AWK";"American Water Works Company Inc";"Utilities";162.22;-1.6908026;686420;3.65;2.1
"AVY";"Avery Dennison Corp";"Materials";174.89;1.0399232;531326;6.61;2.36
"AXP";"American Express Co";"Financials";127.99;1.354133;3360205;3.77;1.72
"BA";"Boeing Company";"Industrials";211.95;1.933345;11156327;-20.88;2.055
"BAC";"Bank of America Corp";"Financials";33.09;2.2242856;45959182;1.87;0.72
"BAX";"Baxter International Inc.";"Health Care";77.6;0.3880924;2204316;2.13;0.955
"BBY";"Best Buy Co. Inc.";"Consumer Discretionary";117.9;2.942463;1714311;6.562;2.2
"BDX";"Becton Dickinson";"Health Care";256.82;0.84027594;1341170;5.256;3.2
"BEN";"Franklin Resources";"Financials";26.59;2.8228908;2320768;1.558;1.09
"BF-B";"Brown-Forman Corp.";"Consumer Staples";75.89;1.7838008;803548;1.92;0.697
"BIIB";"Biogen Inc.";"Health Care";268.93;1.4485633;1046028;24.8;NA
"BIO";"Bio-Rad Laboratories";"Health Care";628.68;1.9789795;264196;116.688;NA
"BK";"The Bank of New York Mellon";"Financials";41.95;-0.19033553;3987911;3.83;1.24
"BKNG";"Booking Holdings Inc";"Consumer Discretionary";2099.56;0.14978567;219043;33.687;NA
"BKR";"Baker Hughes Co";"Energy";22.55;2.968035;4330881;NA;NA
"BLK";"BlackRock";"Financials";726.45;0.016520742;532818;31.85;14.52
"BLL";"Ball Corp";"Materials";89.72;0.36917087;1536581;1.76;0.6
"BMY";"Bristol-Myers Squibb";"Health Care";60.23;-1.1326307;18855055;-3.992;1.84
"BR";"Broadridge Financial Solutions";"Information Technology";143.09;-0.7215767;599740;4.425;2.23
"BRK-B";"Berkshire Hathaway";"Financials";237.42;0.96104544;3326153;22232.215;NA
"BSX";"Boston Scientific";"Health Care";39.57;1.5657101;10352938;2.605;NA
"BWA";"BorgWarner";"Consumer Discretionary";43.44;0.7888635;2439885;1.76;0.68
"BXP";"Boston Properties";"Real Estate";95.35;3.5062914;1132034;5.54;3.92
"C";"Citigroup Inc.";"Financials";63.65;1.7098109;15043232;4.874;2.04
"CAG";"Conagra Brands";"Consumer Staples";34.8;0.5199316;3250476;2.271;0.912
"CAH";"Cardinal Health Inc.";"Health Care";52.91;-2.4880178;4018414;4.705;1.939
"CARR";"Carrier Global";"Industrials";39.7;1.4048511;4543190;NA;NA
"CAT";"Caterpillar Inc.";"Industrials";197.45;2.305698;2718875;5.46;4.12
"CB";"Chubb Limited";"Financials";166.18;2.2331526;2055993;7.79;3.09
"CBOE";"Cboe Global Markets";"Financials";92.01;2.7356;1263457;4.555;1.08
"CBRE";"CBRE Group";"Real Estate";67.93;0.75645524;810817;3.187;NA
"CCI";"Crown Castle International Corp.";"Real Estate";160.9;-0.83816135;2553976;2.35;4.93
"CCL";"Carnival Corp.";"Consumer Discretionary";21.61;1.4077952;22128665;-13.208;0.5
"CDNS";"Cadence Design Systems";"Information Technology";137.58;1.3107502;1102253;3.857;NA
"CDW";"CDW";"Information Technology";150.39;-0.3841835;1436353;5.07;1.52
"CE";"Celanese";"Materials";130.04;2.6847708;680647;16.749;2.48
"CERN";"Cerner";"Health Care";78.5;-1.6537204;2371715;2.559;0.72
"CF";"CF Industries Holdings Inc";"Materials";43.97;1.9239727;1443705;1.322;1.2
"CFG";"Citizens Financial Group";"Financials";40.48;1.3520304;2908189;2.22;1.56
"CHD";"Church & Dwight";"Consumer Staples";82.33;-0.6516241;1133476;3.12;0.96
"CHRW";"C. H. Robinson Worldwide";"Industrials";89.97;1.2719551;1025246;3.72;2.04
"CHTR";"Charter Communications";"Communication Services";615.53;-0.34323564;957844;15.4;NA
"CI";"CIGNA Corp.";"Health Care";206.05;1.2879174;1897637;22.959;0.04
"CINF";"Cincinnati Financial";"Financials";87.66;1.0956113;500291;4.871;2.36
"CL";"Colgate-Palmolive";"Consumer Staples";79.7;-0.21285312;3828281;3.14;1.75
"CLX";"The Clorox Company";"Consumer Staples";190;-0.6535948;2332473;9.557;4.39
"CMA";"Comerica Inc.";"Financials";63.2;0.89399964;797509;3.27;2.72
"CMCSA";"Comcast Corp.";"Communication Services";51.85;1.4478533;14767124;2.28;0.92
"CME";"CME Group Inc.";"Financials";191.74;0.18287586;2071079;6;3.3
"CMG";"Chipotle Mexican Grill";"Consumer Discretionary";1504;-0.19112371;208661;12.52;NA
